File	Velocity(km/s)	Velocity_error(km/s)	Sigma(km/s)	Sigma_error(km/s)	h3	h3_error	h4	h4_error
spectrum_xpos_01_ypos_26_fiber_number_0070_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_01_ypos_27_fiber_number_0071_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_01_ypos_28_fiber_number_0072_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_01_ypos_29_fiber_number_0073_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_01_ypos_30_fiber_number_0074_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_01_ypos_31_fiber_number_0075_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_01_ypos_32_fiber_number_0076_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_33_fiber_number_0077_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_34_fiber_number_0078_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_35_fiber_number_0079_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_36_fiber_number_0080_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_37_fiber_number_0081_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_38_fiber_number_0082_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_39_fiber_number_0083_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_40_fiber_number_0084_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_41_fiber_number_0085_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_01_ypos_42_fiber_number_0086_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_00_fiber_number_0087_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_02_ypos_01_fiber_number_0088_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_02_ypos_02_fiber_number_0089_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_02_ypos_03_fiber_number_0090_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_02_ypos_04_fiber_number_0091_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_02_ypos_05_fiber_number_0092_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_02_ypos_06_fiber_number_0093_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_02_ypos_07_fiber_number_0094_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_02_ypos_08_fiber_number_0095_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_02_ypos_09_fiber_number_0096_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_02_ypos_10_fiber_number_0097_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_02_ypos_11_fiber_number_0098_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_02_ypos_12_fiber_number_0099_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_02_ypos_13_fiber_number_0100_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_02_ypos_14_fiber_number_0101_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_02_ypos_15_fiber_number_0102_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_02_ypos_16_fiber_number_0103_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_02_ypos_17_fiber_number_0104_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_02_ypos_18_fiber_number_0105_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_02_ypos_19_fiber_number_0106_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_02_ypos_20_fiber_number_0107_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_02_ypos_21_fiber_number_0108_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_02_ypos_22_fiber_number_0109_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_02_ypos_23_fiber_number_0110_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_02_ypos_24_fiber_number_0111_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_02_ypos_25_fiber_number_0112_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_02_ypos_26_fiber_number_0113_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_02_ypos_27_fiber_number_0114_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_02_ypos_28_fiber_number_0115_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_02_ypos_29_fiber_number_0116_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_02_ypos_30_fiber_number_0117_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_02_ypos_31_fiber_number_0118_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_02_ypos_32_fiber_number_0119_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_33_fiber_number_0120_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_34_fiber_number_0121_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_35_fiber_number_0122_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_36_fiber_number_0123_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_37_fiber_number_0124_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_38_fiber_number_0125_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_39_fiber_number_0126_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_40_fiber_number_0127_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_41_fiber_number_0128_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_02_ypos_42_fiber_number_0129_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_00_fiber_number_0130_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_03_ypos_01_fiber_number_0131_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_03_ypos_02_fiber_number_0132_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_03_ypos_03_fiber_number_0133_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_03_ypos_04_fiber_number_0134_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_03_ypos_05_fiber_number_0135_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_03_ypos_06_fiber_number_0136_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_03_ypos_07_fiber_number_0137_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_03_ypos_08_fiber_number_0138_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_03_ypos_09_fiber_number_0139_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_03_ypos_10_fiber_number_0140_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_03_ypos_11_fiber_number_0141_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_03_ypos_12_fiber_number_0142_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_03_ypos_13_fiber_number_0143_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_03_ypos_14_fiber_number_0144_NGC7025_LR-V.txt	4877.36	5.64	184.06	7.47	0.0244	0.0268	0.0596	0.0287
spectrum_xpos_03_ypos_15_fiber_number_0145_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
